UKT,NILAI UKT,PENGHASILAN AYAH,PENGHASILAN IBU,TOTAL PENGHASILAN,"Jumlah Anggota Keluarga (Ayah, Ibu dan Anak)",TOTAL PENGHASILAN/JUMLAH ANGGOTA KEL,STATUS AYAH,STATUS IBU,STATUS KIP,STATUS TDK MAMPU,STATUS KKS
4.0,3200000.0,1500000,0,1500000,4.0,375000.0,1,1,1,0,1
4.0,3200000.0,1000000,0,1000000,5.0,200000.0,1,1,0,0,0
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,0,0,0,0,0
4.0,3600000.0,1200000,0,1200000,5.0,240000.0,1,1,0,0,0
4.0,4000000.0,2887289,0,2887289,3.0,962429.6667,1,1,1,0,1
2.0,1825000.0,0,800000,800000,3.0,266666.6667,1,1,1,0,1
2.0,1900000.0,500000,0,500000,5.0,100000.0,1,1,1,0,1
1.0,400000.0,500000,0,500000,4.0,125000.0,1,1,1,0,1
2.0,1925000.0,0,1200000,1200000,3.0,400000.0,0,1,1,0,1
3.0,2400000.0,1500000,0,1500000,5.0,300000.0,1,1,0,0,0
4.0,3200000.0,1500000,0,1500000,4.0,375000.0,1,1,0,0,0
1.0,400000.0,0,0,0,6.0,0.0,1,1,1,1,1
4.0,3200000.0,3684242,0,3684242,6.0,614040.3333,0,0,0,0,0
2.0,1825000.0,800000,0,800000,4.0,200000.0,0,0,0,0,0
4.0,2800000.0,1500000,0,1500000,4.0,375000.0,1,1,1,0,1
3.0,2400000.0,1200000,0,1200000,6.0,200000.0,1,1,0,0,0
4.0,3200000.0,0,800000,800000,4.0,200000.0,1,1,1,0,1
2.0,1825000.0,2000000,0,2000000,4.0,500000.0,1,1,1,0,1
3.0,2900000.0,2000000,0,2000000,6.0,333333.3333,1,1,1,0,1
3.0,2400000.0,0,1000000,1000000,5.0,200000.0,0,1,1,0,0
2.0,1925000.0,800000,0,800000,6.0,133333.3333,0,1,0,0,1
3.0,2750000.0,1500000,0,1500000,5.0,300000.0,1,1,1,0,0
2.0,1825000.0,1250000,0,1250000,8.0,156250.0,1,1,1,1,1
3.0,2400000.0,1000000,0,1000000,4.0,250000.0,1,1,0,0,0
2.0,1925000.0,750000,0,750000,5.0,150000.0,1,1,1,0,0
1.0,400000.0,1800000,0,1800000,7.0,257142.8571,1,1,1,0,1
2.0,1825000.0,0,0,0,5.0,0.0,0,1,1,0,0
2.0,1825000.0,2800000,0,2800000,5.0,560000.0,1,1,1,0,1
3.0,2400000.0,1500000,0,1500000,7.0,214285.7143,1,1,0,0,0
4.0,3200000.0,3000000,0,3000000,6.0,500000.0,1,1,1,0,1
2.0,1900000.0,2000000,0,2000000,17.0,117647.0588,1,1,0,0,1
1.0,400000.0,0,2000000,2000000,4.0,500000.0,1,1,1,0,1
1.0,400000.0,1000000,0,1000000,5.0,200000.0,1,1,0,0,0
3.0,2400000.0,800000,0,800000,5.0,160000.0,1,1,1,0,1
4.0,2800000.0,0,0,0,7.0,0.0,0,1,0,0,0
1.0,400000.0,0,0,0,4.0,0.0,0,1,1,0,1
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,1,1,1,0,1
3.0,2900000.0,500000,0,500000,7.0,71428.57143,1,1,1,0,1
4.0,2800000.0,1500000,0,1500000,6.0,250000.0,1,1,0,0,0
2.0,1825000.0,2000000,0,2000000,5.0,400000.0,1,1,0,0,0
3.0,2350000.0,2000000,0,2000000,7.0,285714.2857,1,1,1,0,0
4.0,3200000.0,900000,0,900000,3.0,300000.0,0,0,0,0,0
1.0,400000.0,0,1000000,1000000,4.0,250000.0,0,1,0,0,0
4.0,3600000.0,1500000,0,1500000,5.0,300000.0,1,1,1,0,1
4.0,3600000.0,1500000,0,1500000,5.0,300000.0,1,1,0,0,1
2.0,1825000.0,800000,0,800000,6.0,133333.3333,1,1,1,0,0
4.0,2800000.0,1000000,0,1000000,5.0,200000.0,1,1,1,0,1
5.0,3220000.0,2000000,0,2000000,3.0,666666.6667,1,1,1,0,1
4.0,3200000.0,2000000,0,2000000,5.0,400000.0,1,1,1,0,1
3.0,2550000.0,2400000,600000,3000000,7.0,428571.4286,1,1,0,0,0
3.0,2400000.0,1000000,0,1000000,4.0,250000.0,1,1,1,0,1
3.0,2400000.0,0,800000,800000,5.0,160000.0,1,1,0,0,0
4.0,3200000.0,1500000,0,1500000,4.0,375000.0,1,1,0,0,1
3.0,2400000.0,1000000,0,1000000,4.0,250000.0,1,1,1,0,1
2.0,1925000.0,1000000,0,1000000,5.0,200000.0,1,1,1,0,0
4.0,2800000.0,2500000,0,2500000,5.0,500000.0,0,0,0,0,0
3.0,2350000.0,700000,0,700000,4.0,175000.0,0,1,1,0,0
4.0,2800000.0,0,2000000,2000000,6.0,333333.3333,1,1,1,1,1
2.0,1825000.0,750000,0,750000,7.0,107142.8571,1,1,0,0,0
4.0,3200000.0,0,0,0,5.0,0.0,1,1,1,1,1
3.0,2400000.0,800000,0,800000,4.0,200000.0,1,1,1,0,1
2.0,1925000.0,500000,0,500000,5.0,100000.0,1,0,0,0,0
4.0,4000000.0,1500000,0,1500000,6.0,250000.0,0,0,0,0,0
2.0,1925000.0,1200000,300000,1500000,10.0,150000.0,1,1,1,0,0
4.0,2800000.0,1500000,0,1500000,4.0,375000.0,1,1,1,0,0
4.0,2800000.0,0,0,0,7.0,0.0,1,1,1,0,1
4.0,2800000.0,2950000,0,2950000,6.0,491666.6667,1,1,1,1,1
4.0,3200000.0,0,1200000,1200000,4.0,300000.0,0,1,0,0,0
4.0,2800000.0,1500000,0,1500000,11.0,136363.6364,1,1,0,0,1
2.0,1825000.0,1500000,0,1500000,6.0,250000.0,1,1,1,0,1
3.0,2400000.0,800000,0,800000,5.0,160000.0,1,1,0,0,0
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,1,1,1,1,1
2.0,1825000.0,1500000,300000,1800000,7.0,257142.8571,1,1,0,0,0
4.0,2800000.0,3000000,0,3000000,10.0,300000.0,1,0,1,0,1
5.0,3220000.0,0,1109566,1109566,3.0,369855.3333,0,1,1,0,1
4.0,2800000.0,2000000,0,2000000,6.0,333333.3333,1,1,1,0,0
2.0,1825000.0,0,0,0,7.0,0.0,1,1,1,1,1
2.0,1825000.0,1300000,0,1300000,9.0,144444.4444,1,1,0,0,0
3.0,2600000.0,0,1900000,1900000,5.0,380000.0,1,1,1,0,1
3.0,2600000.0,1600000,0,1600000,4.0,400000.0,1,1,0,0,0
4.0,2800000.0,1800000,500000,2300000,5.0,460000.0,1,1,1,0,1
2.0,1825000.0,3000000,0,3000000,6.0,500000.0,1,1,1,0,1
3.0,2400000.0,0,0,0,6.0,0.0,1,1,1,1,1
4.0,3200000.0,1500000,0,1500000,6.0,250000.0,1,0,1,0,0
4.0,2800000.0,1000000,500000,1500000,7.0,214285.7143,0,0,0,0,0
2.0,1825000.0,1200000,0,1200000,4.0,300000.0,1,1,1,0,1
3.0,2400000.0,500000,550000,1050000,6.0,175000.0,1,1,1,1,1
2.0,1825000.0,1000000,0,1000000,6.0,166666.6667,1,1,1,0,0
3.0,2400000.0,2000000,0,2000000,6.0,333333.3333,1,1,0,0,0
